Hyderabad,find all urls at same place ,Delhi,Telangana,India
https://www.siasat.com,http://hyderabad.newsmixx.com/,https://www.dailypioneer.com/,https://www.socialpost.news,https://www.bbc.com
https://timesofindia.indiatimes.com,,,http://www.andhraheadlines.com,
https://telanganatoday.com,,,,
https://www.dnaindia.com,,,,
https://www.thehindu.com,,,,
https://www.firstpost.com,,,,
https://www.news18.com,,,,
http://zeenews.india.com/,,,,
http://www.thehansindia.com,,,,
https://www.deccanchronicle.com,,,,
https://www.business-standard.com,,,,
https://www.hindustantimes.com,,,,
http://www.newindianexpress.com,,,,
https://english.sakshi.com/,,,,
https://www.oneindia.com,,,,
http://www.ddinews.gov.in,search site,,,
http://v6news.tv,search site,,,
https://hyderabad.suryaa.com/,,,,
https://www.en.etemaaddaily.com,,,,
https://munsifdaily.in,,,,
