,date,title,url,area,news,image,keywords,summy
0,7th Dec 2018,Krishnamurthy Subramanian appointed as Chief Economic Advisor,https://telanganatoday.com/krishnamurthy-subramanian-appointed-as-chief-economic-advisor,hyderabad,"Home » India » Krishnamurthy Subramanian appointed as Chief Economic Advisor
Krishnamurthy Subramanian appointed as Chief Economic Advisor
The post of CEA had been lying vacant since Arvind Subramanaian left the finance ministry after a four-year stint in Jlu this year.
AddThis Sharing Buttons
By Author TelanganaToday   |  Business Bureau  |  Published: 7th Dec 2018  5:22 pmUpdated: 7th Dec 2018  6:29 pm
Krishnamurthy Subramanian
Hyderabad: The government on Friday appointed ISB Hyderabad Associate Professor of Finance (with tenure) and executive director for the Centre for Analytical Finance Krishnamurthy Subramanian as chief economic adviser (CEA) for a period of three years. The post of CEA had been lying vacant since Arvind Subramanaian left the Finance ministry after a four-year stint in July this year.
“The Appointments Committee of the Cabinet (ACC) has approved for the appointment of Dr Krishnamurthy Subramanian, Associate Professor and ED (CAF), ISB, Hyderabad, to the post of Chief Economic Adviser,” said a government notification.
Subramanian is Ph D (Financial Economics) from Booth School of Business, University of Chicago, and did his MBA (Finance) from Indian Institute of Management (IIM) Calcutta and B Tech (Electrical Engineering) from Indian Institute of Technology (IIT), Kanpur. He is one of the world’s leading experts in banking, corporate governance and economic policy. He taught at ISB- Corporate Control, Mergers and Acquisitions, and Investment Analysis.
His services on the expert committees on Corporate Governance for the Securities and Exchange Board of India (SEBI) and on Governance of Banks for The Reserve Bank of India (RBI) have established him as one of the chief architects of corporate governance and banking reforms in India. He served as a member of SEBI’s Standing Committees on Alternative Investment Policy, Primary Markets, Secondary Markets and Research. As part of his corporate policy work, he serves on the boards of Bandhan Bank, the National Institute of Bank Management, and the RBI Academy.
His research in banking, law and finance, innovation and economic growth, and corporate governance has been published in the world’s leading journals, including The Review of Financial Studies, the Journal of Financial Economics, the Journal of Financial and Quantitative Analysis, and the Journal of Law and Economics.
Before beginning his academic career, Subramanian worked as a consultant with JPMorgan Chase in New York. He also served in a management role in the elite derivatives research group at ICICI.
Because of his work in shaping the Indian banking sector and other path-breaking research with a significant societal impact, Subramanian was named ISB’s inaugural Alumni Endowment Research Fellow in 2014.
Even while still earning his MBA and PhD, he produced award-winning work. Subramanian’s PhD dissertation earned the Ewing Marion Kauffman Foundation Dissertation Fellowship, which recognises the top 15 PhD dissertations across all disciplines every year. While earning his MBA at the Indian Institute of Management in Calcutta, he was named to the Honour Roll of the Institute for being a top ranker in the batch and was awarded the Institute’s coveted medal for the most balanced outlook to business problems. He holds a bachelor’s degree in Electrical Engineering from the Indian Institute of Technology in Kanpur.
In previous academic roles, Subramanian served on the finance faculty at Goizueta Business School at Emory University in the United States. He obtained his MBA and PhD in Financial Economics at the University of Chicago Booth School of Business under the advice of Professor Luigi Zingales and Professor Raghuram Rajan.
His own students and research associates have gone on to join the world’s top PhD programmes, including Chicago Booth, MIT Sloan, Kellogg, Berkeley, London Business School, Duke and Emory universities.
AddThis Sharing Buttons
",https://cdn.telanganatoday.com/wp-content/uploads/2018/12/Krishnamurthy-Subramanian-235x267.jpg,"['subramanian', 'krishnamurthy', 'economic', 'appointed', 'research', 'corporate', 'chief', 'indian', 'business', 'advisor', 'financial', 'finance', 'governance', 'institute', 'phd']","By | Business Bureau | Published: 5:22 pm 6:29 pmHyderabad: The government on Friday appointed ISB Hyderabad Associate Professor of Finance (with tenure) and executive director for the Centre for Analytical Finance Krishnamurthy Subramanian as chief economic adviser (CEA) for a period of three years.
“The Appointments Committee of the Cabinet (ACC) has approved for the appointment of Dr Krishnamurthy Subramanian, Associate Professor and ED (CAF), ISB, Hyderabad, to the post of Chief Economic Adviser,” said a government notification.
He is one of the world’s leading experts in banking, corporate governance and economic policy.
His services on the expert committees on Corporate Governance for the Securities and Exchange Board of India (SEBI) and on Governance of Banks for The Reserve Bank of India (RBI) have established him as one of the chief architects of corporate governance and banking reforms in India.
He holds a bachelor’s degree in Electrical Engineering from the Indian Institute of Technology in Kanpur."
1,7th Dec 2018,10th Corps Reunion Ceremonial Parade held at Secunderabad,https://telanganatoday.com/10th-corps-reunion-ceremonial-parade-held-at-secunderabad,hyderabad,"Home » Hyderabad » 10th Corps Reunion Ceremonial Parade held at Secunderabad
10th Corps Reunion Ceremonial Parade held at Secunderabad
The contingents marched with full fervor and pride to the inspiring martial tunes played by the military bands of 1 & 3 EME Centres.
AddThis Sharing Buttons
Pinterest
By Author TelanganaToday   |  Published: 7th Dec 2018  3:28 pmUpdated: 7th Dec 2018  3:47 pm
Lieutenant General KK Aggarwal, DGEME & Senior Colonel Commandant of the Corps of EME with the officers on the occasion of 10th Reunion celebrations of Corps of EME at 1EME Centre parade ground, Secunderabad on 07 Dec 2018.
Hyderabad: The Central Parade Ground of 1 EME Centre, Secunderabad wore a spectacular look with traditional military regalia and splendor on occasion of the 10th Corps Reunion Ceremonial Parade of the Corps of Electronics & Mechanical Engineers (EME) on Friday.
The parade was reviewed by Lieutenant General KK Aggarwal, DGEME and Senior Colonel Commandant of the Corps of EME and the event was attended by about nearly 2,500 serving and veteran officers including officers from friendly foreign countries, Veer Naris and families, according to a press release.
The ceremonial parade was commanded by Brigadier Sandeep Bhalla, Commandant, 1EME Centre in which eight contingents comprising of 12 officers, 25 JCOs and 404 other ranks participated. The contingents marched with full fervor and pride to the inspiring martial tunes played by the military bands of 1 & 3 EME Centres.
Lieutenant General KK Aggarwal, DGEME & Senior Colonel Commandant of the Corps of EME reviewing the Ceremonial Parade organized on the occasion of 10th Reunion celebrations of Corps of EME at 1EME Centre parade ground, Secunderabad on 07 Dec 2018.
Addressing the gathering, the reviewing officer complimented the parade for a very high standard of military turnout, bearing and precise drill. Expressing satisfaction at the high technical proficiency, resourcefulness and devotion to duty exhibited by all ranks of Corps of EME in ensuring battle worthiness of all military equipment, he expressed his belief that the Corps will continue to live up to ever evolving challenges of the modernized Army with its vision, tolerance and team spirit, the release added.
Earlier in the morning, a solemn wreath laying ceremony was held to pay homage to the valiant soldiers who laid down their lives to uphold the honour and pride of the country, at 1 EME Centre War Memorial. Wreaths were laid by Lieutenant General KK Aggarwal, Lieutenant General Paramjit Singh, Commandant, MCEME, Brigadier Sandeep Bhalla, other senior serving and veteran officers and Subedar Majors on behalf of all ranks of the Corps.
While paying obeisance to the valiant brethren who laid down their lives in the line of duty, sacrifices of their families were also acknowledged by way of felicitation of the Veer Naris. A token of gratitude to these families was presented by Sonia Aggarwal, President EME Wives Welfare Association, on behalf of the Eagles family.
AddThis Sharing Buttons
",https://cdn.telanganatoday.com/wp-content/uploads/2018/12/009-460x267.jpg,"['held', 'secunderabad', 'eme', 'military', 'corps', '10th', 'ranks', 'laid', 'reunion', 'ceremonial', 'officers', 'lieutenant', 'parade', 'families', 'general']","By | Published: 3:28 pm 3:47 pmHyderabad: The Central Parade Ground of 1 EME Centre, Secunderabad wore a spectacular look with traditional military regalia and splendor on occasion of the 10th Corps Reunion Ceremonial Parade of the Corps of Electronics & Mechanical Engineers (EME) on Friday.
The ceremonial parade was commanded by Brigadier Sandeep Bhalla, Commandant, 1EME Centre in which eight contingents comprising of 12 officers, 25 JCOs and 404 other ranks participated.
Addressing the gathering, the reviewing officer complimented the parade for a very high standard of military turnout, bearing and precise drill.
Wreaths were laid by Lieutenant General KK Aggarwal, Lieutenant General Paramjit Singh, Commandant, MCEME, Brigadier Sandeep Bhalla, other senior serving and veteran officers and Subedar Majors on behalf of all ranks of the Corps.
A token of gratitude to these families was presented by Sonia Aggarwal, President EME Wives Welfare Association, on behalf of the Eagles family."
2,7th Dec 2018,"KTR, Akbaruddin cast vote",https://telanganatoday.com/ktr-akbaruddin-cast-vote,hyderabad,"Home » Hyderabad » KTR, Akbaruddin cast vote
KTR, Akbaruddin cast vote
Pinterest
By Author TelanganaToday   |  Published: 7th Dec 2018  12:17 pmUpdated: 7th Dec 2018  1:52 pm
Hyderabad: IT and Industries Minister KT Rama Rao cast his vote at the St. Nizami’s High School in Banjara Hills on Friday. Rao’s wife Shailima cast her vote at St. Anthony’s High School in Himayatnagar.
AIMIM leader Akbaruddin Owaisi, who is contesting from Chandrayangutta, also cast his vote at Banjara Hills.
Video:
",https://cdn.telanganatoday.com/wp-content/uploads/2018/12/KTR-and-Akbar-405x267.jpg,"['banjara', 'st', 'wife', 'cast', 'vote', 'raos', 'shailima', 'high', 'rao', 'ktr', 'school', 'akbaruddin']","By | Published: 12:17 pm 1:52 pmHyderabad: IT and Industries Minister KT Rama Rao cast his vote at the St. Nizami’s High School in Banjara Hills on Friday.
Rao’s wife Shailima cast her vote at St. Anthony’s High School in Himayatnagar.
AIMIM leader Akbaruddin Owaisi, who is contesting from Chandrayangutta, also cast his vote at Banjara Hills."
3,7th Dec 2018,BJYM vice president taken into custody in Hyderabad,https://telanganatoday.com/bjym-vice-president-taken-into-custody-in-hyderabad,hyderabad,"Home » Hyderabad » BJYM vice president taken into custody in Hyderabad
BJYM vice president taken into custody in Hyderabad
AddThis Sharing Buttons
Pinterest
By Author TelanganaToday   |  Published: 7th Dec 2018  1:48 pm
Hyderabad: The Alwal police have taken Bharatiya Janata Yuva Morcha (BJYM) vice president TM Sai Kumar into preventive custody at a polling station in Malkajgiri constituency here on Friday.
Officials said recently, Sai Kumar had allegedly posted some derogatory content against a TRS leader on social media.
The police took him into custody after he cast his vote and was moving in the vicinity of the polling station. Officials said he would be released later.
AddThis Sharing Buttons
",https://cdn.telanganatoday.com/wp-content/uploads/2017/12/Telangana-Tday-News.jpg,"['hyderabad', 'kumar', 'president', 'sai', 'trs', 'vote', 'custody', 'polling', 'yuva', 'bjym', 'taken', 'vicinity', 'station', 'vice']","By | Published: 1:48 pmHyderabad: The Alwal police have taken Bharatiya Janata Yuva Morcha (BJYM) vice president TM Sai Kumar into preventive custody at a polling station in Malkajgiri constituency here on Friday.
Officials said recently, Sai Kumar had allegedly posted some derogatory content against a TRS leader on social media.
The police took him into custody after he cast his vote and was moving in the vicinity of the polling station.
Officials said he would be released later."
4,7th Dec 2018,Technical glitches for EVMs; Chintala demands extension of polling time,https://telanganatoday.com/technical-glitches-for-evms-chintala-demands-extension-of-polling-time,hyderabad,"Home » Hyderabad » Technical glitches for EVMs; Chintala demands extension of polling time
Technical glitches for EVMs; Chintala demands extension of polling time
AddThis Sharing Buttons
By Author TelanganaToday   |  Published: 7th Dec 2018  12:34 pm
Chintala Ramachandra Reddy with family after casting his vote at Shaikpet.
Hyderabad: BJP candidate for Khairatabad constituency, Chintala Ramachandra Reddy, who cast his vote at Shaikpet, alleged that in Khairatabad constituency, 40 to 50 EVMs reported technical glitches resulting in voters having to wait.
“I request the Election Commission to extend the voting time wherever voting was delayed due to technical reasons,” he said.
Meanwhile, even as polling at various polling stations in the areas of Banjara Hills and Jubilee Hills progressed slowly, senior citizens were seen casting their votes early.
In a few polling stations along Road No 7, agents were seen waiting for voters to distribute their slips. In most of the stations, apart from celebrities who sought to queue up in the first hour, senior citizens were seen turning up in good numbers to exercise their franchise.
AddThis Sharing Buttons
",https://cdn.telanganatoday.com/wp-content/uploads/2018/12/Chintala-295x267.jpg,"['voters', 'evms', 'stations', 'voting', 'demands', 'khairatabad', 'technical', 'extension', 'glitches', 'chintala', 'hills', 'polling', 'constituency', 'senior', 'seen']","By | Published: 12:34 pmHyderabad: BJP candidate for Khairatabad constituency, Chintala Ramachandra Reddy, who cast his vote at Shaikpet, alleged that in Khairatabad constituency, 40 to 50 EVMs reported technical glitches resulting in voters having to wait.
“I request the Election Commission to extend the voting time wherever voting was delayed due to technical reasons,” he said.
Meanwhile, even as polling at various polling stations in the areas of Banjara Hills and Jubilee Hills progressed slowly, senior citizens were seen casting their votes early.
In a few polling stations along Road No 7, agents were seen waiting for voters to distribute their slips.
In most of the stations, apart from celebrities who sought to queue up in the first hour, senior citizens were seen turning up in good numbers to exercise their franchise."
5,7th Dec 2018,Volunteers from all age groups make a difference,https://telanganatoday.com/volunteers-from-all-age-groups-make-a-difference,hyderabad,"Home » Hyderabad » Volunteers from all age groups make a difference
Volunteers from all age groups make a difference
Youngsters, mostly drawn from the National Service Scheme (NSS) and National Cadet Corps (NCC) turned up in large numbers in their specially designed T-shirts to help senior citizens, persons with disabilities and so on.
AddThis Sharing Buttons
Pinterest
By Author TelanganaToday   |  Published: 7th Dec 2018  11:52 am
Youngsters pointed out that they came to help on voluntary basis and did not expect the authorities to provide them with refreshments.
Hyderabad: Volunteers from all age groups played an important part in guiding and helping persons with special needs and senior citizens across polling stations in Hyderabad.
Youngsters, mostly drawn from the National Service Scheme (NSS) and National Cadet Corps (NCC) turned up in large numbers in their specially designed T-shirts to help senior citizens, persons with disabilities and so on.
“This is my first time volunteering during elections and I am very excited. We were asked to report by 6.30 am and we will be here assisting voters till 5.30 pm,” said a beaming Sirisha Reddy, a M.Sc second year student at RBVRR College, Narayanguda polling booth.
Youngsters pointed out that they came to help on voluntary basis and did not expect the authorities to provide them with refreshments.
“I have brought my lunch box with me. I just want to help people who need some guidance,” said Vijay, a student stationed at RBVRR Women’s college.
AddThis Sharing Buttons
",https://cdn.telanganatoday.com/wp-content/uploads/2018/12/youngsters-237x267.jpg,"['senior', 'college', 'age', 'student', 'volunteers', 'citizens', 'rbvrr', 'womens', 'polling', 'difference', 'persons', 'national', 'groups', 'help']","By | Published: 11:52 amHyderabad: Volunteers from all age groups played an important part in guiding and helping persons with special needs and senior citizens across polling stations in Hyderabad.
Youngsters, mostly drawn from the National Service Scheme (NSS) and National Cadet Corps (NCC) turned up in large numbers in their specially designed T-shirts to help senior citizens, persons with disabilities and so on.
We were asked to report by 6.30 am and we will be here assisting voters till 5.30 pm,” said a beaming Sirisha Reddy, a M.Sc second year student at RBVRR College, Narayanguda polling booth.
Youngsters pointed out that they came to help on voluntary basis and did not expect the authorities to provide them with refreshments.
I just want to help people who need some guidance,” said Vijay, a student stationed at RBVRR Women’s college."
6,7th Dec 2018,Live Updates: Telangana starts voting,https://telanganatoday.com/live-updates-telangana-starts-voting,hyderabad,"Home » Hyderabad » Live Updates: Telangana starts voting
Live Updates: Telangana starts voting
Voting in Hyderabad got off to a sluggish start on Friday as voters slowly made their way to polling booths.
AddThis Sharing Buttons
By Author TelanganaToday   |  Published: 7th Dec 2018  11:07 amUpdated: 7th Dec 2018  7:06 pm
Actor Chiranjeevi and wife Surekha after casting their votes in Hyderabad
Hyderabad: Clad in a coat of winter mist, Hyderabad got off to a sluggish start on Friday as voters slowly made their way to polling booths.
5.15 pm: Polling comes to a close, peaceful voting across State: The first ever polls for the Telangana State Legislative Assembly came to a peaceful end at 5 p.m. on Friday with no reports of any major untoward incidents or disturbances.
3:54 pm: Record polling in Medak
Medak assembly constituency is expected to set a new record in turn out of voters. The polling percentage registered in the constituency was 75.57 per cent by 3 pm. Deputy Speaker, Padma Devender Reddy is in the fray as the TRS nominee in the constituency.
In Narsapur assembly constituency, it was 68.93 per cent. Chief Minister K Chandrashekhar Rao’s Gajwel constituency recorded a polling percentage of 61 per cent by 3 pm.
3:00pm: Hyderabad: The average polling percentage at 3 p.m. stood at 56.17 in the State, the office of the Chief Electoral Officer for Telangana has said.
The polling percentage had been steadily climbing all day with the average at 10 a.m. reported at 10.15 per cent, followed by 23.04 per cent at 11 a.m. By 1 p.m., it climbed to 43.24 per cent.
1.55 pm: The polling percentage touched 47.8 per cent by 1 pm and it is expected to cross 50 per cent by 2 pm, according to the ECI officials.
1.52 pm: Hyderabad district registered a polling percentage of 28.28 percent by 1 pm, with Amberpet constituency leading the chart with 32.92 percent followed by Goshamahal constituency with 32.46 percent.
1.30 pm: Telangana registered a polling percentage of 43.24 percent by 1 pm.
1.00 pm: Telangana Principal Secretary for IT & Industries Jayesh Ranjan, IPS officer Swati Lakra, GHMC Commissioner Dana Kishore and Chief Secretary SK Joshi exercised their franchise in Hyderabad.  
Telangana Principal Secretary for IT & Industries Jayesh Ranjan, IPS officer Swati Lakra, GHMC Commissioner Dana Kishore and Chief Secretary SK Joshi after casting their votes in Hyderabad.
 
1.44 pm: The Alwal police have taken Bharatiya Janata Yuva Morcha (BJYM) vice president TM Sai Kumar into preventive custody at a polling station in Malkajgiri constituency here on Friday. He was taken into custody in connection with a social media post, police said.
12.45 pm: CM takes part in voting at Chintamadaka: Chief Minister K Chandrashekhar Rao and his wife Shobharani exercised their franchise at Chintamadaka, his native village (Booth No 13) in Siddipet Assembly Constituency. He was accompanied to the polling station by the Irrigation Minister T Harish Rao. Residents of the village greeted him in a big way and he also responded wishing each one of them with folded hands.
CM K Chandrashekhar Rao and his wife Shobharani at a polling booth in Chintamadaka
 
12.30 pm: Actors Allu Arjun and Nithin cast their votes in Hyderabad.
Actors Allu Arjun and Nithin after casting their votes in Hyderabad
 
12.20 pm: Flying squad searches Congress candidate’s house in Hyderabad: Based on a tip-off, a flying squad searched the house of Feroz Khan, Congress candidate from Nampally. They did not find anything though.
12.05 pm: AIMIM leader Akbaruddin Owaisi, who is contesting from Chandrayangutta cast his vote at Banjara Hills.
AIMIM leader Akbaruddin Owaisi standing in queue to cast his vote at Banjara Hills.
 
12.00 pm: IT and Industries Minister KT Rama Rao cast his vote at the St. Nizami’s High School in Banjara Hills on Friday.
IT and Industries Minister KT Rama Rao after casting his vote at the St. Nizami’s High School in Banjara Hills.
 
11.45 am: Hyderabad district recorded an average polling percentage of 16.16 percent by 11 am. Goshamahal with 23 percent and Karwan with 21 percent recorded the highest percentages at this time.
Hyderabad MP Asaduddin Owaisi casting his vote in Hyderabad
 
11.40 am: Many of the rural polling stations in the state witnessed brisk polling in the first four hours. The overall turnout was 23.04 per cent by 11 am, according ECI sources.  Nagarkurnool district registered the highest of 34 per cent by 11 am. It was 21.48 in Gadwal, 18.88 per cent in Khammam and  27.32per cent in Kama Reddy.
11.30 am: Deputy Chief Minister Kadiam Srihari exercised his franchise in the Teachers colony polling station at Hanamkonda.
11.25 am: Irrigation Minister T Harish Rao exercised his franchise
Irrigation Minister T Harish Rao after casting his vote
 
11.15 am: Even as polling percentages remained low, there was no stopping those who wanted to vote. Not the winter chill, nor the physical challenges they had to face. Many voters were seen being brought into polling stations on wheelchairs. Here is what our reporters and photographers sent in from Balapur, Tarnaka and other areas.
Volunteers helping disabled voters to cast their vote at a polling booth in Hyderabad
11.05 am: 23.04 per cent turn out by 11 am
11.00 am: The polling percentages remained as cold as the chill in the air, not crossing double figures even after two hours. Top citizens however, showed the way as many came out in the first hour itself to cast their votes.
10.30 am: Governor ESL Narasimhan and wife Vimala Narasimhan cast their votes at Somajiguda, while Chief Secretary SK Joshi, Irrigation Minister T. Harish Rao and his wife, Nizamabad MP K. Kavitha, Agriculture Minister Pocharam Srinivas Reddy, actor Chiranjeevi and his wife Surekha, daughter Sushmitha, Nagarjuna Akkineni and Amala Akkineni, actors Nithin and Allu Arjun were among those who voted early in the day.
AddThis Sharing Buttons
",https://cdn.telanganatoday.com/wp-content/uploads/2018/12/chirabjeevi-400x267.jpg,"['hyderabad', 'percentage', 'cent', 'voting', 'chief', 'cast', 'updates', 'rao', 'polling', 'constituency', 'minister', 'telangana', 'starts', 'live', '11']","The polling percentage registered in the constituency was 75.57 per cent by 3 pm.
Chief Minister K Chandrashekhar Rao’s Gajwel constituency recorded a polling percentage of 61 per cent by 3 pm.
3:00pm: Hyderabad: The average polling percentage at 3 p.m. stood at 56.17 in the State, the office of the Chief Electoral Officer for Telangana has said.
1.30 pm: Telangana registered a polling percentage of 43.24 percent by 1 pm.
11.30 am: Deputy Chief Minister Kadiam Srihari exercised his franchise in the Teachers colony polling station at Hanamkonda."
7,7th Dec 2018,"Chiranjeevi, Nagarjuna cast votes in Telangana polls",https://telanganatoday.com/chiranjeevi-nagarjuna-cast-votes-in-telangana-polls,hyderabad,"Home » Hyderabad » Chiranjeevi, Nagarjuna cast votes in Telangana polls
Chiranjeevi, Nagarjuna cast votes in Telangana polls
Well-known director Rajamouli and actors Venkatesh, Allu Arjun and Nithin were also among the Tollywood personalities who exercised their franchise at various polling stations in Jubliee Hills.
AddThis Sharing Buttons
Pinterest
By Author IANS   |  Published: 7th Dec 2018  10:23 amUpdated: 7th Dec 2018  10:25 am
Hyderabad: Superstar K. Chiranjeevi and Akkineni Nagarjuna were among top celebrities from the Telugu film industry who cast their votes in the Telangana Assembly elections on Friday.
Well-known director Rajamouli and actors Venkatesh, Allu Arjun and Nithin were also among the Tollywood personalities who exercised their franchise at various polling stations in Jubliee Hills here.
They appealed to all citizens to come out and to exercise their democratic right. Actor-politician Chiranjeevi along with his wife K. Surekha stood in queue along with commoners and exercised their franchise.
Chiranjeevi later told reporters that it is the duty of each and everyone to cast his vote. The former central minister and Congress party leader, however, parried questions about politics.
“I came to here to cast my vote as a common citizen,” he said when asked about the prospects of Congress-led People’s Front.
Chiranjeevi, who had been focusing on films last four years, stayed away from campaigning in Telangana.
Popular actor Nagarjuna and with his wife Amla Akkineni also cast their votes. “It’s your day. Come out and cast your vote instead of just complaining,” he said.
Telengana!! Time to vote my friends!! Go for it👍 pic.twitter.com/JTFLDcZIgA
— Nagarjuna Akkineni (@iamnagarjuna) December 7, 2018
Polling to elect a new state Assembly was underway in Telangana in all of the 119 constituencies in the first full-fledged elections in the country’s youngest state.
AddThis Sharing Buttons
",https://cdn.telanganatoday.com/wp-content/uploads/2018/12/nagarjuna-356x267.jpg,"['wife', 'polls', 'state', 'cast', 'vote', 'akkineni', 'nagarjuna', 'k', 'telangana', 'votes', 'chiranjeevi', 'exercised']","By | Published: 10:23 am 10:25 amHyderabad: Superstar K. Chiranjeevi and Akkineni Nagarjuna were among top celebrities from the Telugu film industry who cast their votes in the Telangana Assembly elections on Friday.
Actor-politician Chiranjeevi along with his wife K. Surekha stood in queue along with commoners and exercised their franchise.
Chiranjeevi later told reporters that it is the duty of each and everyone to cast his vote.
“I came to here to cast my vote as a common citizen,” he said when asked about the prospects of Congress-led People’s Front.
Popular actor Nagarjuna and with his wife Amla Akkineni also cast their votes."
8,7th Dec 2018,Man held with Rs 19 lakh in Hyderabad,https://telanganatoday.com/man-held-with-rs-19-lakh-in-hyderabad,hyderabad,"Home » Hyderabad » Man held with Rs 19 lakh in Hyderabad
Man held with Rs 19 lakh in Hyderabad
AddThis Sharing Buttons
By Author Y V Phani Raj   |  Published: 7th Dec 2018  12:20 am
Hyderabad: During a vehicle check, the Rachakonda police caught a man identified as Ranjith Reddy for allegedly carrying Rs 19 lakh unaccounted cash at Uppal check post here on Thursday night.
When the police officials sought relevant documents for the cash, Reddy failed to show them. The police suspect the cash was being planned to be used for the polls. The cash was handed over to the Income Tax officials for further enquiry.
AddThis Sharing Buttons
",https://cdn.telanganatoday.com/wp-content/uploads/2017/12/Telangana-Tday-News.jpg,"['rs', 'hyderabad', '19', 'officials', 'uppal', 'tax', 'held', 'suspect', 'reddy', 'used', 'check', 'vehicle', 'unaccounted', 'man', 'lakh', 'cash']","By | Published: 12:20 amHyderabad: During a vehicle check, the Rachakonda police caught a man identified as Ranjith Reddy for allegedly carrying Rs 19 lakh unaccounted cash at Uppal check post here on Thursday night.
When the police officials sought relevant documents for the cash, Reddy failed to show them.
The police suspect the cash was being planned to be used for the polls.
The cash was handed over to the Income Tax officials for further enquiry."
9,7th Dec 2018,SATS VC lauds medal winners in Hyderabad,https://telanganatoday.com/sats-vc-lauds-medal-winners-in-hyderabad,hyderabad,"Home » Hyderabad » SATS VC lauds medal winners in Hyderabad
SATS VC lauds medal winners in Hyderabad
The medal winners from Karimnagar Sports School met the official at his chamber. The wrestlers from the school have won 10 gold and five silver medals in the competition.
AddThis Sharing Buttons
By Author TelanganaToday   |  Published: 7th Dec 2018  12:18 am
The medal winners of the State level school wrestling competitions posing for a photograph.
Hyderabad: Sports Authority of Telangana State VC and MD A Dinakar Babu congratulated the medal winners of the State level school wrestling competitions, held at the Lal Bahadur Shastri Stadium in Hyderabad on Thursday.
The medal winners from Karimnagar Sports School met the official at his chamber. The wrestlers from the school have won 10 gold and five silver medals in the competition.
Dinakar Babu said the athletes should work hard to achieve their aim and should improve with each day to bring more laurels to the country.
R Mahesh, K Akhil, A Vinod, G Aravind, G Ravi from Karimnagar won gold medals in the under-17 category while A Uday, R Jeevan Das, Pandu, Dinesh and Adikeshavulu won silver medals. In the under-19 category, SK Shabbir, Santosh, S Pavan, Mahesh, Shamson won gold medals.
AddThis Sharing Buttons
",https://cdn.telanganatoday.com/wp-content/uploads/2018/12/winners_sports-500x237.jpg,"['hyderabad', 'sats', 'winners', 'won', 'state', 'gold', 'silver', 'medal', 'lauds', 'vc', 'mahesh', 'karimnagar', 'school', 'medals']","By | Published: 12:18 amHyderabad: Sports Authority of Telangana State VC and MD A Dinakar Babu congratulated the medal winners of the State level school wrestling competitions, held at the Lal Bahadur Shastri Stadium in Hyderabad on Thursday.
The medal winners from Karimnagar Sports School met the official at his chamber.
The wrestlers from the school have won 10 gold and five silver medals in the competition.
R Mahesh, K Akhil, A Vinod, G Aravind, G Ravi from Karimnagar won gold medals in the under-17 category while A Uday, R Jeevan Das, Pandu, Dinesh and Adikeshavulu won silver medals.
In the under-19 category, SK Shabbir, Santosh, S Pavan, Mahesh, Shamson won gold medals."
